accolades,aging,alcohol,average_age_of_vines,cheese_pairing,country,density,description,dessert_pairing,fermentation_&_maceration,grape_varietal,harvest_method,legumes_pairing,meat_pairing,mouth_attribute,name,nose_attribute,others_pairing,pasta_pairing,price,producer,product_type,production_method,psata_pairing,region,seafood_pairing,sku,vintage,volume(ml),winemakers,acidity
,Aging on fine lees for 4 months in stainless steel tank,12.50%,,,FRANCE,,"Pale litchi pink, this wine has an expressive nose of white flowers and exotic fruits. Fresh and generous, complex aromatic palate. Fresh, dominated by light tropical fruit notes and great minerality.   Vintage in image may vary. Refer to wine facts for current vintage.",,"Pneumatic pressure with inerting ; selection of the press, cold clarification during 48 hours,  cold fermentation. Separate vinification by grape variety. Alcoholic fermentation under controlled temperature (17°C) without malo-lactic fermentation.","Cinsault, Grenache, Syrah",,,Pair with grilled meat,,DOMAINE LA GRANDE BAUQUIÈRE 'Création' 2022 - Côtes de Provence Rosé - France,,,,35.0,,Rose,,,Côtes de Provence,Summer meals made with seafood,RH175,2022,750,,Medium Acidity
,Ageing of the wine in French and American oak for 12 months.,13.5%,12 years old,,ARGENTINA,,"Excellent typicity. Full bodied wine. Intense. Great harmony between lush plums, blackberries  and a chocolate undertone, provided by  its contact with oak. Subtle presence of tannins. Delicious with grilled meat and Italian pasta dishes. Serving temperature: 16° - 18°C  Vintage in image may vary. Refer to wine facts for current vintage.",,Fermentation with selected yeasts. Maceration for over 25 days,Malbec,Hand Harvesting,"Pasta dishes with tomato sauce, Italian dishes",This wine is an ideal complement to red roasted meat ”asado”,Full-bodied,"ALMA MORA  2023 ""Reserva"" - Malbec - San Juan - Argentina","Red Berries, Plum, Vanilla",,,36.0,Grupo Peñaflor S.A.,Red Wine,,,San Juan,,AR41,2023,,Eduardo Casademont,Medium Acidity
Vegan Wine,,13.5%,,,AUSTRALIA,,"Medium ruby red colour. Attractive nose of strawberry, mulberry and red plum fruit aromas with subtle French oak spice and a touch of earthy complexity. Medium bodied palate, plump and silky, with distinct berry fruit flavours and a savoury, lingering finish. Goes well with game meats, charcuterie and mushroom risotto work wonderfully.  Vintage in image may vary. Refer to wine facts for current vintage.",,,Pinot Noir,Mechanical,Mushroom risotto,"Game meats, charcuterie","Fruity, Medium-bodied, Silky Tannin","DEAKIN ESTATE 2023 - Pinot Noir - Victoria, Australia","Dark Fruit, Earthy, Fruity, Oak, Red Berries, Spices",,,36.0,Calabria Family Wines,Red Wine,,,Victoria,,AU128,2023,,Frank Newman,Medium Acidity
Vegan Wine,Stainless steel tank with weekly stirring of the lees.,12%,50 years,,FRANCE,"5,000 to 6,000 vines/ha","Bright, pale yellow robe. This wine catches the attention with its high quality bouquet, which reveals pretty aromas of white flowers and citrus fruits (pink grapefruit). Its fine and distinctive nose is very well balanced. It reveals a great freshness and complexity on the palate.   Vintage in image may vary. Refer to wine facts for current vintage.",,"Skin maceration at low temperature (10 to 15° C). ). Pneumatic pressing and fermentation in stainless steel tanks at low temperature, between 15 and 18° C.","Muscadelle, Sauvignon Blanc, Semillon",Machine,"Appetizers, fresh summer salads",,"Crisp, Fresh, Fruity","CHÂTEAU SAINTE MARIE 2023 - Bordeaux White - Entre-Deux-Mers, Bordeaux - France","Citrus, Floral, Fruity",,,36.0,CHÂTEAU SAINTE MARIE,White Wine,Sustainable,,Bordeaux,"Seafood, shellfish, oysters, grilled fish",BO45,2023,750ml,Stephane Dupuch,Medium Acidity
Vegan Wine,1/4 of the wine is aged for 6 to 10 months in oak before blending and bottling.,13%,10-20 years,A wide variety of cheeses,FRANCE,,"Bright, ruby red color with intense and elegant notes of crushed strawberries followed by a long, persistent finish. A delicious wine that marries well with white meats such as chicken, veal, pork, a wide variety of cheeses, and fresh salads.  Vintage in image may vary. Refer to wine facts for current vintage.",,Fermentation of the juices with two pumping-overs a day during around one week. A period of maceration occurs under controlled temperature at 27°C to extract the best of the aromas.,Pinot Noir,Mecanical,,"A delicious wine that marries well with white meats such as chicken, veal, pork",,FAT BASTARD 2023 - Pinot Noir - IGP Pays D'Oc - France,,Fresh salads,,36.0,Gabriel Meffre Winery,Red Wine,,,Languedoc,,RH60,2023,,Véronique Torcolacci,Medium Acidity
,Stainless steel thank,11.5%,25 years,,FRANCE,2 800 vines/ha,"Pale bright yellow colour with some hints of green. The nose reveals intense notes of citrus (lemon and lime) followed by notes of white flowers (honeysuckle) and exotic fruits nuances. Elegant palate, with a fine balance between a smooth attack of fresh fruits and blackcurrant aromas and a fresh and mineral finish, with grapefruit notes. Drink on its own or with seafood and white meats.",,Maceration with the skins (8-12 hours). Pressing.  Racking.  Cold  stabulation  (8/10°C) for a few days - Reincorporation of filtered fine lees. Fermentation between 16-18°C.,Sauvignon Blanc,Machine harvested (between 4 and 9 am) after tasting the grapes.,,White meats.,"Balanced, Fresh","LES FUMÉES BLANCHES 2023 - Sauvignon Blanc - Côtes De Gascogne, South West - France","Citrus, Floral, Fruity, Herbal",,,36.0,François Lurton,White Wine,60 hL/ha.   The 2021 vintage will remain historic with a frost in early April that  caused  the  loss  of  50%  of  the  grape  production.  It  is  the  strongest frost since 1991. The rest of the campaign was marked by abundant rainfall from May to September and a very strong disease pressure (mildew) which  also  generated  a  loss  of  harvest  of  5  to  30%  depending  on  the  sector.  This  cold  and  humic  climate  was  nevertheless  beneficial  to  the  white  wines  to  preserve  their  freshness.  The  work  done  on  the  harvest  date  and  in  the  cellar  on  the  lees  allowed  us  to  have  a  beautiful  vintage  with  fresh  aromas  and  a good length.,,South West,"Aperitif, seafood, mussels, filet of zander with dill, sole meuniere",RH99,2023,750ml,François Lurton - Harald Constant,### Solution: Medium Acidity
Vegan Wine,6 months,12.5%,30-40 years,Soft cheeses,FRANCE,,"Intense pink colour with purple-blue hues. Complex and expressive bouquet with intense raspberry and strawberry notes. Round and full on the palate with ripe red fruits and a long, fresh finish.",,"Upon arrival at the winery, the grapes fo through the crusher-destemmer and are then divided, one part going to the pneumatic press, while the other part is put into stainless steel tanks until the juice reaches the perfect colour. The two parts are then blended and vinified with selected yeasts at controlled temperatures.","Cinsault, Grenache",Mechanical,"Fresh summer salads, spicy and fried food",Barbeque,"Balanced, Light-bodied","FAT BASTARD 2023 - Rosé IGP Pays d'Oc, Languedoc - France","Floral, Red Berries",,,36.0,Gabriel Meffre,Rose,"200,000 btles",,Languedoc-Roussillon,,RH129,2023,750ml,Véronique Torcolacci,High Acidity
"China Wine _ Spirits Awards Gold, Catavinum World Wine & Spirits Competition Silver","Wines were left in oak and in stainless steel tanks (with some oak staves) for 6 months until blended, stabilization and filtration occurred.",14.5%,,,AUSTRALIA,,"Bonza is an Australian expression that describes the feeling before you exclaim ""hurray!"". Something is bonza if it is superb and amazing, but at the same time laid back and relaxed. This wine is powerful and nuanced, with hints of black currant, black cherry, liquorice and coffee. This wine has the flavour, structure to be enjoyed now or offers added satisfaction from further cellaring  Vintage in image may vary. Refer to wine facts for current vintage.",,"All the different types of grapes were fermented separately. Once grapes arrived at winery, the fruit was crushed and destemmed to a mixture of static and cinematic vessels. Fermentation temperatures could rise to 30 c, to extract colour and tannins, and then cooled down to 23 c. Wines were pressed off skins at 2 beaume and part of wine transferred to oak for fermentation to complete.","Cabernet Sauvignon, Shiraz, Shiraz blend",,,Serve with a red wine casserole or a juicy steak with red onion jam.,,"THE GREAT BONZA ""Reserve"" 2021 - Shiraz Cabernet - South Eastern Australia",,,,36.0,Quarisa Wines,Red Wine,,,South Eastern Australia,,AU145,2021,,John Quarisa,Medium Acidity
Luca Maroni 94 Points,Minimum 6 months in stainless steel tanks,13%,,Pair with soft cheese,ITALY,,"The deep red colour of this young wine exhibits strong purplish hues in the glass. The fruity and vinous flavors weave together with enticing notes of violet, forest berries and cherry. This wine has a balanced, dry and slightly tannic palate, giving it a nice approachability and finesse.",,,Sangiovese,,Pair with pasta dishes,Pair with roasted red and white meats.,"Balanced, Dry, Tannic","DUCA DI SARAGNANO 2022  - Chianti DOCG, Tuscany - Italy","Floral, Fruity, Red Berries",,,36.0,,Red Wine,,,Tuscany,,IT173,2022,750,Francesco Franchetti & Andrea Bernardini,Medium Acidity
,,13.50%,,Pair with mature cheese,ITALY,,"Deeply dark red with purple hues. Spicy and balsamic notes; clear hints of violet and dark fruity scents. Round and full-bodied, with complex and velvety tannins.   Vintage in image may vary. Refer to wine facts for current vintage.",,"Before the fermentation process, the grapes cold macerate between 0 and 4°C for 4-6 days. Then, the alcoholic fermentation at controlled temperature of max. 24°C follows, which lasts for 10-14 days to let to the fruitiest elements to express at their best",,Machine,,Pair with roasted meat and game,,DUCA DI SARAGNANO 2021 - Nero di Troia - Puglia - Italy,,,,36.0,,Red Wine,,,,,IT208,2021,750,Francesco Franchetti & Andrea Bernardini,Medium Acidity
James Suckling 90 Points,,13.5%,,,ITALY,,Intense notes of ripe plum followed by delicate scents of cherry and strawberry. Spicy sensations and hints of leather and tobacco.  Taste: The mouth-feeling offers round but steady tannins with an elegant and well balanced complexity .The flavors persist through a lingering and smooth finish.  Vintage in image may vary. Refer to wine facts for current vintage.,,,Sangiovese,,,"Pair with beef, game, poultry",,FAMIGLIA CASTELLANI 2018 - Vino Nobile di Montepulciano  - Tuscany - Italy,,,,36.0,,Red Wine,,,Tuscany,,IT202,2018,750,,Medium Acidity
Mundus Vini Silver,No,13%,20/60 years,Pair with mature and hard cheeses,ITALY,3000/3500 vines/hectare on average,"Delicate with floral notes and hints of citrus fruits and yellow flesh fruits. Fresh, mineral, and very well structured and well balanced. Vintage in image may vary. Refer to wine facts for current vintage.",,Fermentation under controlled temperature,"Chardonnay, Garganega",By hand,Pair with pasta dishes,Pairs well with cured meat,,"BISCARDO ""Oropasso"" 2023 - Bianco Veneto IGT  - Italy",,,,36.0,Mabis Srl,White Wine,from 13500 to 18000 kg/ha on average,,Veneto,Pairs well with shellfish and lean fish,IT205,2023,750,Martino Biscardo,Medium Acidity
,,,25 years,,FRANCE,,"Why do we call our wines “Le Grand Noir”? Our black sheep logo gives one clue - we are rather unconventional wine makers. The original Grand Noir - “Big Black” was a priest of the Cathar religion, in the region of Carcassonne. The Cathars were heretics - a breakaway group from the Catholic Church of the day, who has some very unconventional views. This GSM (Grenache-Shiraz-Mourvedre) blend offers intense aromas of spicy blackberry, dark plum, licorice, cocoa, and spice. On the palate, it is rich and complex with soft tannins.",,The 3 varieties were vinified separately. All went through a period of cold soak. Fermentation on skins lasted 2 weeks prior to pressing.,"Grenache, Mourvedre, Syrah",Mechanical,,Perfect with all full-flavoured meat dishes and as ideal with traditional French cuisine as well as more international dishes whose flavours include a note of spice.,"Complex, Jamy, Medium-bodied, Rich, Soft Tannin","LE GRAND NOIR GSM 2021- IGP Pays d'Oc, Languedoc - France","Dark Fruit, Mineral, Spices, Liquorice",,,36.0,Celliers Jean D'Alibert,Red Wine,,,"Languedoc, Pays d'Oc",,RH70,2021,,Hugh Ryman,Medium Acidity
,Aged on French and American Oak for 3 months followed by 6 months in stainless steel storage.,14%,15 yrs,,AUSTRALIA,,"Vibrant and lively deep red colour. Lovely and complex wine, it displays ripe red fruits of cherries, plums and fruit cake notes coupled with spicy oak and hints of dark chocolate. Rich and juicy palate with red plums, black cherry and spice notes. Smooth tannins and a rounded, lingering finish.",,Fermentation for 6 – 8 Days on skins at 22 – 26 Degrees C.,,Mechanical,,"Pair with Moroccan spiced rack of lamb, boeuf bourguignon and winter stews. Perfect with Sunday BBQs and pizzas.","Easy-drinking, Fruity, Juicy, Medium-bodied, Round, Soft Tannin","DEAKIN ESTATE -2021  Merlot - Riverina, Victoria - Australia","Chocolate, Red Berries, Spices, Plum",,,36.0,Deakin Estate (Calabria Family Wines),Red Wine,,,North West Victoria,,AU118,2021,750,,Medium Acidity
,Ageing on complete lees for 2-3 weeks after fermentation and on fine lees for 3 months in an inox tank.,13.5%,20 Years,,FRANCE,4400 vines/ha,"Made from Viognier, this wine has a brilliant pale golden colour. The nose is dominated by lime and acacia aromass with white pear notes. Round and elegant with delicate notes of dried fruit in the mouth. Delicious served with fish, white meats, Asian dishes and seafood.  Vintage in image may vary. Refer to wine facts for current vintage.",,Fermentation at 17-18°C with selected yeasts in stainless steel tanks,Viognier,"Selective, mechanical harvest at daybreak to retain the natural fruity freshness. Immediately drained and pressed. Cold settling. Fermentation in stainless steel tanks.",,White Meat,"Balanced, Elegant, Fruity, Round",L'ODALET  2023 - Viognier  - Pays d'Oc - France,"Citrus, Floral",,,36.0,Castel,White Wine,60 hL per hectare,,Languedoc-Roussillon,"It is a perfect accompaniment to fish, Asian dishes and crustaceans.",RH140,2023,750ml,Cedric Plat,Medium Acidity
,1 year in steel tanks and oak barrels,13.5%,15 years old,Fresh and aged cheeses,ITALY,3.000 PER HA,"Intense ruby red colour tending to garnet with ageing. Spicy bouquet with hints of cherry, black cherry and plum compote. Fine and velvety palate, persistent, with soft tannins at the end.  Vintage in image may vary. Refer to wine facts for current vintage.",,20 days fermentation in steel tanks,"Cabernet Sauvignon, Corvina, Merlot",manual,,"Recommended with pasta, white and red meats.","Full-bodied, Medium-bodied, Soft Tannin","BISCARDO ""Neropasso"" 2021 - IGT Veneto - Italy",Dark Fruit,,,36.0,MABIS SRL,Red Wine,,,Veneto,,IT145,2021,,Maurizio and Martino Biscardo,Medium Acidity
,,12.50%,,Pairs well with soft and smoked cow and sheep cheeses.,ITALY,,"Sour cherry, orange blossom and broom enhance its aromatic complexity, while hints of quince linger in the background. Rich on the palate and on its minerality, pleasantly fresh, harmonic and slightly savoury with a floral mouthfeel.   Vintage in image may vary. Refer to wine facts for current vintage.",,A soft pressing is made on the grapes to obtain a must with a light rosé colour. The desired colour is obtained by the subsequent clarification and vinification techniques at a controlled temperature between 12-14°C; these two processes also give the wine the typical floral and fruity scents which derive from the structure of the red grapes,Sangiovese,Machine,Pairs well with light white sauce-based pasta dishes.,Pairs well with white meats in citrus sauce.,,DUCA DI SARAGNANO -2023  Sangiovese Bianco IGT - Tuscany - Italy,,,,36.0,,White Wine,,,Tuscany,,IT207,2023,750,Francesco Franchetti & Andrea Bernardini,Medium Acidity
"Tim Atkin 90 Points, James Suckling 91 Points, Decanter 91 Points, Vegan Wine","Stainless steel, on lees",13.5%,30 years,"Pair with semi-ripe cheeses, among others.",CHILE,,"Color: soft cherry red. Aroma: red fruits such as maraschino cherry and fresh strawberry with a pear background, slight notes of sweet spices and fresh herbs. Taste: very fruity, tannins with just the right presence and a refreshing acidity that make it very pleasant to drink.",,"Maceration with thermo flash, traditional maceration with destemming and whole bunch with delicate grinding. Alcoholic fermentation was carried out with wild or native yeasts and took 8 days to then macerate another 15 days on their skins.",Cinsault,Manual harvest,,"Ideal to accompany lean red meats, grilled white meats, charcuterie",,CINSO 2021 - Cinsault  - Chile,,,,36.0,Luis Felipe Edwards,Red Wine,,,,Pair with low-fat fish.,CL62,2021,750,Nicolas Bizzarri,High Acidity
Vegan Wine,Stainless steel,11.5%,20 Years,,AUSTRALIA,Varied,"A pale straw colour, with light green tinges. Lovely lime and characteristic tropical and fresh, attractive green apple skin, gooseberry, passion fruit, citrus, lychee and zesty lime aromas, with a hint of herbal notes. Fruit-driven, light-bodied, fresh, unoaked and crisp. Medium weight and subtle minerality, balanced by natural freshness on a zesty, refreshing finish. Easy drinking and brimming with flavour.",,"Fermentation for 10 – 15 Days at 14 – 16 Degrees C, then clarified and blended promptly to retain freshness.",Sauvignon Blanc,Machine,Try with your favorite summer salads.,Light chicken dishes.,"Balanced, Dry, Easy-drinking, Fresh, Fruity, Medium-bodied","DEAKIN ESTATE 2022 - Sauvignon Blanc - Riverina, New South Wales - Australia","Citrus, Fresh, Fruity, Herbal, Mineral, Tropical Fruit",,,36.0,Deakin Estate (Calabria Family Wines),White Wine,16 – 18 Tonne/Ha,,New South Wales,Pair with fish or a tasty selection of Thai dishes.,AU117,2022,750ml,,Medium Acidity
Vegan Wine,6 months ageing. 35% of the final wine is aged in oak before bottling.,13.5%,30-40 years,,FRANCE,,"Golden yellow colour. Elegant bouquet with aromas of white fruits (peach, pear). Full-bodied structure with great fruit flavours and hints of vanilla. Excellent as an aperitif. Perfect pairing with baked salmon, grilled tuna steak, flavourful seafood dishes, white meat (chicken, veal with mushrooms) and cheese. Enjoy now or within 2 years after release.  Vintage in image may vary. Refer to wine facts for current vintage.",,The grapes are gently pressed and the wine is fermented with selected yeasts at a controlled temperature in stainless steel tanks.,Chardonnay,Mechanical,,,"Fresh, Round",FAT BASTARD 2023 - Chardonnay - Languedoc - France,"Oak, Tropical Fruit, Vanilla",,,36.0,Gabriel Meffre Winery,White Wine,,,Languedoc-Roussillon,Flavorful seafood dishes including baked salmon and grilled tuna steaks.,RH23,2023,750ml,Véronique Torcolacci,High Acidity
,10 months in casks,13%,50 yrs,,FRANCE,10.000 vines / ha,"Bright ruby hue. Cherry jam-like fruits with spicy, roasted notes  in the mouth. The wine is ample with smooth tannins, fleshy fruits and nice crisp finish.",Great with sweet bread,Fermentation and aging 100% in oak cask for 10  months,Pinot Noir,Mechanical,,"Great with grilled red meats, offal in sauce","Fruity, Round, Soft Tannin, Smooth","HENRI DE BAREUIL ""Vieilles Vignes""- Bourgogne Pinot Noir - Burgundy - France","Spices, Toasted, Red Fruits",,,36.9,SARL de Rochebin,Red Wine,250 hl,,Burgundy,,BU122,2022,750,Laurent Chardigny,Medium Acidity
,"Lee aging for 3 months, follow by 12 months in oak barrel after blending of grapes",14.0%,,,FRANCE,,"Its name is a reference to the Carmes de Langon monks.  Intense nose with beautiful aromatic complexity. Mellow, slightly minty notes promise good balance. On aeration, notes of rhubarb tart and a hint of dried apricots develop. The palate is well balanced with the wine’s freshness underscored by a pleasant acidity. There are notes of dried fig accompanied again by dried apricot. Subtly toasted oaky notes contribute to the wine’s roundness and smoothness. A freshly-struck-match minerality accompanies the wine for its entire length.","foie gras, crêpes suzettes, crême brûlée, soufflé",,"Cabernet Sauvignon blend, Muscadelle, Semillon","Manual, botrytized grapes",,,,"CARMES DE RIEUSSEC  2019 - Sauternes - Half Bottle - Bordeaux, France",,,,36.9,Château Rieussec,White Wine,,,Bordeaux,,BO294-19,2019,350,Bertrand Roux,Medium Acidity
,11  months in casks,13%,50 yrs,,FRANCE,10000 vines / ha,Bright golden hue. Dried fruits and buttery undertones  in the nose. The mouth is generous and ample showing complexity of aromas with a pleasant touch of vanilla. Unctuousy yours!,,Fermentation and againg 100% in oak cask for 10 months,Chardonnay,Mechanical,,"Complements well with creamed dishes, poultry, veal and spicy dishes such as minced chicken curry.","Buttery, Complex, Full-bodied, Rich","HENRI DE BAREUIL ""Vieilles Vignes""  2021 - Chardonnay - Burgundy - France","Buttery, Floral, Stone Fruit",,,36.9,SARL de Rochebin,White Wine,250 hl,,Burgundy,Delicious with scallops,BU121,2021,750ml,Laurent Chardigny,High Acidity
,No,12.5%,25-30 years,,FRANCE,,"A blend of Grenache, Cinsault and Carignan create a charming pastel coloured wine. Fresh bouquet with aromas of peach and candied orange with discreet almond aroma. Fruity, seductive and frank with notable finesse on the palate. Pair with grilled fish, barbecue, spicy dishes.",,"Direct pressing after maceration, cold settling, temperature controlled fermentation.","Carignan, Cinsault, Grenache, Mourvedre, Syrah",Manual,Fresh summer salads.,"Barbecue, poultry, charcuterie.","Fruity, Light-bodied",CEP D'OR - Côtes de Provence Rosé - France,"Citrus, Floral, Fruity, Nutty, Red Berries, Red Fruits, Stone Fruit",,,38.0,Maitres Vignerons de la Presqu'Ile de Saint Tropez,Rose,50 hl/hectare,,Côtes de Provence,Grilled fish and light seafood.,RH04,2023,750ml,Florian Lacroux,Medium Acidity
,Matured in concrete tanks in order to preserve the aromas of red fruit and the garrigue.,13.5,35 years,Mature Comté cheese,FRANCE,"3000 vines/ha, gobelet and trellised.","Beautiful garnet red colour. Intense, elegant nose with notes of fresh fruit mixed with spices, gradually developing hints of liquorice and smoke. On the palate, the intense flavours mingle with a smooth structure, and plump, well-integrated tannins. Good length and freshness make this a pleasant, very drinkable wine. Pair with grilled meats, Bolognese pasta, mature Comtï¿½ cheese, red fruit salad.  Vintage in image may vary. Refer to wine facts for current vintage.",,"The Grenache and Syrah grapes are traditionally vinified in small temperature-controlled concrete tanks. In order to optimize the wine’s fruit and flexibility, the extraction is gentle, with a quick punching down carried out daily at the start of fermentation.","Carignan, Grenache Noir, Mourvedre, Syrah",Harvest by machine,,"Grilled meats, spaghetti Bolognese",,"MAS JANEIL ""Le Petit Pas"" 2022 - GSM Côtes Du Roussillon, Languedoc - France",,,Tomato & burrata salad.,38.0,François Lurton SA,,Traditional - turning to organic,,Côtes du Roussillon,,RH16,2022,,François Lurton,Medium Acidity
,"Aging in oak barrels 12mths , followed by 12mths aging in bottle",13.5%,10-30 years,,SPAIN,3.000 strain/hectare,"Bright ruby red colour. Delicate floral, balsamic and traditional characters on the nose. Plump, sweet fruit. Refreshing, elegant and attractive style - A proper classic Rioja!",,"Fermentation in stainless steel tanks , in contact with the skins at an average temperature of 25 ° C with daily pumping.",Tempranillo,"90% by hand, 10% machine",,"Perfect with iberico ham, rice dishes, poultry and grilled meats. Serving temperature: 16 °C/17 °C.","Balanced, Dry, Easy-drinking, Fruity, Juicy, Oaky, Soft Tannin","FEDERICO PATERNINA ""Banda Azul"" 2021 - Rioja Crianza - Spain","Floral, Fresh, Red Berries, Spices",,,38.0,"Marques de la Concordia Family of Wines, S.L.",Red Wine,,,Rioja,,SP84,2021,,Carmelo Angulo,Medium Acidity
Decanter World Wine Awards Bronze,"2 years on the barrel, 3 years on the bottle",13.5%,> 30 years old,,SPAIN,,"A medium ruby red with a garnet tinge. The nose is expressive with notes of strawberries, violets and licorice. Well balanced, fluid and smooth with a fruity exuberance. Great with roasted chicken, pork chops, roast beef and meatloaf with mashed potatoes.  Vintage in image may vary. Refer to wine facts for current vintage.",,Fermented in stainless steel tanks,"Carinena, Garnacha, Tempranillo",Hand-picked,,"Pairs well with roast chicken, stews, ribs of pork","Balanced, Medium Length, Powerful","MONASTERIO DE LAS VIÑAS ""Reserva"" 2018 - Cariñena - Spain","Floral, Red Berries, Liquorice",,,38.0,Grandes Vinos,Red Wine,5500 - 5700 Kg/ha,,Carinena,,SP20,2018,,Grandes Vinos,Medium Acidity
Sweet Wine,Stainless steel tanks,12%,20 years,,FRANCE,4000 vines/ha,"A yellow color with golden reflections. The nose reveals notes of honey, citrus and exotic fruits. The palate offers a beautiful harmony with aromas of candied fruit and lemony notes mingle.  Ideally served as an aperitif with foie gras toast or seafood tapas, duck breast skewers or chocolate desserts.",Pair with chocolate desserts,,"Gros Manseng, Petit Manseng",Mechanical,,"Pair with foie gras toast, duck breast skewers","Fresh, Fruity, Rich, Sweet","MATAYAC SW37 - Petit Manseng - Jurançon Doux - South West, France","Citrus, Tropical Fruit, Beewax",,,38.0,Castel,White Wine,70hl/ha,,South West,Great with seafood tapas,SW37,2021,750ml,Thomas Castet,High Acidity
,Stainless steel tanks while the wine refines on its own yeasts.,"12,,,",,Enjoy with cheese,ITALY,,"Fruity, with elegant wild strawberries and cherry flavors. Sapid, smooth, harmonic. The finish is pleasant and nicely bitter.  Vintage in image may vary. Refer to wine facts for current vintage.",,Gentle pressing and cryomaceration. The fermentation is done in stainless steel tanks at controlled temperature.,Pinot Nero,,Enjoy with delicate flavored risotto or pasta.,Enjoy with white meat,"Elegant, Fruity, Smooth","BISCARDO ""Rosapasso"" 2023 - Rosé - Veneto - Italy","Fruity, Red Berries, Red Fruits",,,38.0,,Rose,,,Veneto,"Enjoy with appetizers, fish dishes,",IT178,2023,,,Medium Acidity
,Stainless steel,12.5%,"Various, 7 - 17 years",As a contrsast to soft cheeses,NEW ZEALAND,2000 vines per hectare,"This is a wonderfully expressive wine with delightful passionfruit, citrus and grassy, herbaceous characters. The palate is very approachable with bright, fruity flavours, a gentle acidity and lovely dry finish. Enjoy while young and fruity over the next 12-24 months.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Stainless steel tanks. After careful pressing the juice was fermented in tank, at cool temperatures to retain all their natural aromas and flavours. After fermentation the chosen tanks were blended to produce this deliciously aromatic and flavoursome wine.",Sauvignon Blanc,Machine,Enjoy with Salads,,"Bright, Crisp",OCEAN BAY 2023 - Sauvignon Blanc  - Marlborough - New Zealand,"Citrus, Herbal, Tropical Fruit",,,38.0,Paua Bay Wines,White Wine,800 tonnes,,Marlborough,Seafood or asian-inspired cuisine,NZ29,2023,750ml,Rebecca Wiffen,Medium Acidity
,Ageing in French oak barrels during 15 months. 20 % new|30 % Second use| 50 % Third use.,14%,50 years,Soft and blue cheese.,ARGENTINA,,"Intense purple coloured wine with some violet hues Pleasant aromas of red berries, cherries and grapes marked with notes of candy and vanilla On the mouth, this wine displays a gentle entrance with soft tannins that give creaminess, volume and fleshiness Flavors of ripe and candied fruit are perfectly combined with the notes of smoke provided by the oak toast, leaving a long and persistent finish.",,Fermentation and maceration in stainless Steel tanks during a minimum of 12 days at 24 °C- - 28 °C. Pneumatic pressing.,Malbec,Hand harvesting in bins of 350 kg.,Pasta with mushroom sauce.,"Perfect to accompany grilled red meats, stews.","Fruity, Medium-bodied, Oaky, Smokey, Soft Tannin",LES INTOCABLES 2023 - Malbec - San Juan - Argentina,"Oak, Red Berries, Toasted, Vanilla, Red Fruits",,,38.0,GRUPO PEÑAFLOR SA,Red Wine,,,San Juan,,AR56,2023,750,Maria Josefina Lola Iglesias,Medium Acidity
,24 months Slavonian oak,12.5%,15 years,,ITALY,5500 vines per hectare,"Intense aroma, fruity flavors of cherries and strawberries. Full, smooth and quite tannic, long finish and very winding.",,Special rolling presses are used to give a soft treatment to the grapes that are fermented following the traditional methods in temperature-controlled stainless steel tanks.,,Manual,,"Pasta with a meat or tomato-based sauce, burgers, roast or braised veal, mushrooms.",,"FAMIGLIA CASTELLANI ""Collezione Collesano""  2021 - Chianti DOCG Riserva, Tuscany - Italy",,,,38.0,Castellani S.P.A.,Red Wine,"50,000 bt",,,,IT184,2021,750,Sabino Russo,Medium Acidity
,12 months in Barrel (French and American 20% new),14.5%,25,,AUSTRALIA,3.0x2,"Spills across the palate by means of a coating of fine plushed tannins. Rounded and supple fruit : boysenberry, loganberry and blackberry. Spice. Complexity.  Vintage in image may vary. Refer to wine facts for current vintage.",,Static fermenter 10 days,,Machine,,"Pair with beef, lamb and game",,"BRICKFIELDER ""W Colton"" 2020 - Shiraz, McLaren Vale - Australia",,,,38.0,Pacific Vintners,Red Wine,6t/ha,,,,AU182,2020,750,Oliver Crawford,High Acidity
"Concours International de Lyon Gold, Concours des Vins du Maconnais et du Beaujolais Gold, Vegan Wine",,,35 years,,FRANCE,6000 / ha,"Intense ruby ​color, clear and bright wine. Open nose with elegant notes of red fruits, strawberry, black currant, accompanied by spicy and floral scents. Nice round and frank palate with balanced tannins.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Traditional winemaking, minimum fermentation of three weeks depending on the vintage","Cabernet Franc, Merlot",Manual,,"Pair with beef, veal, poultry, game",,"CHÂTEAU HAUT GUIRAUD 2022- Côtes de Bourg, Bordeaux - France",,,,38.0,,Red Wine,31 Hl,,Bordeaux,,BO287,2022,750,,Medium Acidity
,6-8 months of used French oak barrels,13.5,,,CHILE,,"Intense ruby red. On the nose, absolutely herbaceous tones, spices and light black pepper. The acidity is intermediate without seeking to be invasive, with soft tannins and finish. A faithful Carmenere from Rapel.",,"Alcoholic fermentation between 27-29 degrees, to obtain better color and structure.",,Machine,,"Roast of Tira, pine empanadas with minced meat and meals with spices or moderate flavoring level.",,MOSQUETEROS 2022 - RESERVA - Carmenere - Chile,,,,38.0,Vina Tres Mosqueteros,Red Wine,,,,,DCL64,2022,750,Sebastian San Martin,Medium Acidity
